arg-id,comment-id,x,y,cluster-id
A319.0_0,319.0,-1.2187269,2.8303719,7
A320.0_0,320.0,4.731543,5.551346,0
A321.0_0,321.0,2.7454305,0.7662551,9
A322.0_0,322.0,5.640752,0.61488736,3
A323.0_0,323.0,6.175276,1.3856171,3
A324.0_0,324.0,0.15691149,0.17633165,9
A325.0_0,325.0,-1.1190991,2.7033126,7
A326.0_0,326.0,-1.1370912,2.7325795,7
A327.0_0,327.0,4.70251,3.9014876,1
A328.0_0,328.0,-1.0423036,2.6159027,7
A329.0_0,329.0,1.7141773,1.3550631,9
A330.0_0,330.0,5.300104,0.06955399,3
A331.0_0,331.0,2.4665368,-1.1213555,6
A332.0_0,332.0,3.1231046,6.178062,4
A333.0_0,333.0,-1.0544943,2.6133053,7
A334.0_0,334.0,4.332261,2.8330975,9
A335.0_0,335.0,5.360059,0.0978377,3
A336.0_0,336.0,2.7648475,3.5855014,1
A337.0_0,337.0,5.685595,1.3481307,3
A338.0_0,338.0,-0.1790657,2.6917207,7
A339.0_0,339.0,3.2129998,3.1691597,1
A340.0_0,340.0,3.9935274,-0.09404753,6
A341.0_0,341.0,6.144194,1.3554869,3
A342.0_0,342.0,6.2713723,1.4870584,3
A343.0_0,343.0,5.479158,0.5091335,3
A344.0_0,344.0,1.9608932,3.4569142,2
A345.0_0,345.0,4.2095623,5.3273497,0
A346.0_0,346.0,4.3154554,5.3897796,0
A347.0_0,347.0,3.6692924,1.6103623,9
A348.0_0,348.0,5.87474,1.0431532,3
A349.0_0,349.0,4.983374,0.94858396,3
A350.0_0,350.0,2.9685328,5.777078,4
A351.0_0,351.0,4.863049,0.6345656,3
A352.0_0,352.0,1.2532184,5.0163383,2
A353.0_0,353.0,6.393212,1.718878,3
A354.0_0,354.0,6.1545444,1.9206257,3
A355.0_0,355.0,0.5573981,1.2206259,9
A356.0_0,356.0,0.5306049,1.200721,9
A357.0_0,357.0,2.9561586,3.624706,1
A358.0_0,358.0,4.439827,1.589723,9
A359.0_0,359.0,2.6496668,3.2959485,9
A360.0_0,360.0,0.41124332,0.83922505,9
A361.0_0,361.0,2.6696897,1.4253074,9
A362.0_0,362.0,6.071307,3.1818783,5
A363.0_0,363.0,4.089898,0.058892373,6
A364.0_0,364.0,3.7007957,2.7852418,1
A365.0_0,365.0,2.6497798,-0.73535866,6
A366.0_0,366.0,0.6121575,3.2256627,2
A367.0_0,367.0,1.2231269,3.0900438,9
A368.0_0,368.0,0.27771127,2.885082,9
A369.0_0,369.0,1.583398,2.7017336,9
A370.0_0,370.0,2.6762025,-0.6969961,6
A371.0_0,371.0,0.03355353,0.21367407,9
A372.0_0,372.0,1.1778567,4.6705813,2
A373.0_0,373.0,0.47713166,1.2688534,9
A374.0_0,374.0,3.8632698,2.4366739,9
A375.0_0,375.0,3.963901,2.4872377,9
A376.0_0,376.0,2.4232552,0.73737407,9
A377.0_0,377.0,1.5206014,3.1257188,9
A378.0_0,378.0,6.132743,3.6786628,5
A379.0_0,379.0,2.4105058,2.954995,9
A380.0_0,380.0,1.4811498,1.4252633,9
A381.0_0,381.0,0.5488986,0.61678106,9
A382.0_0,382.0,0.34508485,0.5169873,9
A383.0_0,383.0,1.7005504,2.4933984,9
A384.0_0,384.0,2.6775434,3.5596354,9
A385.0_0,385.0,1.7585726,3.5933335,2
A386.0_0,386.0,-0.8035723,5.379226,9
A387.0_0,387.0,6.1884503,1.5465647,3
A388.0_0,388.0,1.725623,2.1658587,9
A389.0_0,389.0,1.3978313,3.1474948,9
A390.0_0,390.0,2.5172975,3.3365898,9
A391.0_0,391.0,0.53446025,1.9823433,9
A392.0_0,392.0,0.35735643,2.215568,9
A393.0_0,393.0,3.1619196,1.5294757,9
A394.0_0,394.0,1.3238671,1.1858795,9
A395.0_0,395.0,1.1440705,4.747568,2
A396.0_0,396.0,0.25597602,2.1952426,9
A397.0_0,397.0,1.9710865,-0.23845425,9
A398.0_0,398.0,-0.49984044,3.1973727,7
A399.0_0,399.0,2.068894,-0.118098944,9
A400.0_0,400.0,3.2987485,2.1166172,9
A401.0_0,401.0,2.068025,-0.16709271,9
A402.0_0,402.0,1.7970326,0.7909843,9
A403.0_0,403.0,2.0222607,3.849809,2
A404.0_0,404.0,2.0651422,0.7147621,9
A405.0_0,405.0,0.06829527,0.28876904,9
A406.0_0,406.0,0.23427953,1.4090556,9
A407.0_0,407.0,2.0081468,3.7259057,2
A408.0_0,408.0,1.1176499,3.2033386,2
A409.0_0,409.0,0.73954135,0.6498457,9
A410.0_0,410.0,3.0392714,1.7281661,9
A411.0_0,411.0,2.4064267,0.8896402,9
A412.0_0,412.0,-0.9688252,3.7569494,7
A413.0_0,413.0,-0.9486721,3.6824806,7
A414.0_0,414.0,3.9648097,-0.118469946,6
A415.0_0,415.0,-1.162019,3.2552958,7
A416.0_0,416.0,2.1981168,1.8971069,9
A417.0_0,417.0,2.8672776,1.5588977,9
A418.0_0,418.0,2.1336844,2.696333,9
A419.0_0,419.0,2.0868847,2.172259,9
A420.0_0,420.0,2.342616,3.081748,9
A421.0_0,421.0,0.09649302,4.400935,2
A422.0_0,422.0,2.6692073,1.4247354,9
A423.0_0,423.0,2.7562761,1.4526043,9
A424.0_0,424.0,2.7314599,2.8889344,9
A425.0_0,425.0,2.7821434,2.83648,9
A426.0_0,426.0,3.2335289,2.536069,1
A427.0_0,427.0,-0.5132589,3.5679016,7
A428.0_0,428.0,2.6231654,2.9112797,9
A429.0_0,429.0,2.8548331,2.57605,9
A430.0_0,430.0,2.4919217,3.0051181,9
A431.0_0,431.0,2.3074687,3.1261556,9
A432.0_0,432.0,2.5302022,3.0454726,9
A433.0_0,433.0,2.328908,3.1053686,9
A434.0_0,434.0,2.552799,2.637027,9
A435.0_0,435.0,3.288885,2.211795,9
A436.0_0,436.0,2.2863195,2.6578324,9
A437.0_0,437.0,0.29879287,0.82973844,9
A438.0_0,438.0,0.42218265,3.6857553,2
A439.0_0,439.0,5.196296,3.0040135,5
A440.0_0,440.0,-0.3969068,2.8340178,7
A441.0_0,441.0,0.5134338,3.226678,2
A442.0_0,442.0,0.5723494,2.984727,2
A443.0_0,443.0,-0.9085263,3.1980093,7
A444.0_0,444.0,2.166904,0.511431,9
A445.0_0,445.0,-0.93893844,5.6669793,9
A446.0_0,446.0,-0.37360364,3.4385376,7
A447.0_0,447.0,1.1286012,5.8921227,2
A448.0_0,448.0,-0.60340214,2.819845,7
A449.0_0,449.0,0.5510745,3.0157132,2
A450.0_0,450.0,0.34474006,2.6948838,9
A451.0_0,451.0,-0.92274433,5.710718,9
A452.0_0,452.0,0.44619212,0.7859555,9
A453.0_0,453.0,0.2483222,2.4146209,9
A454.0_0,454.0,0.16536866,3.12324,2
A455.0_0,455.0,0.14055672,3.2869399,2
A456.0_0,456.0,1.2850976,4.3987026,2
A457.0_0,457.0,0.28518674,4.482505,2
A458.0_0,458.0,0.474163,4.111157,2
A459.0_0,459.0,-0.051030584,2.3262005,9
A460.0_0,460.0,0.6224826,3.0828638,2
A461.0_0,461.0,1.8580333,2.5856118,9
A462.0_0,462.0,0.35369933,-0.012648078,9
A463.0_0,463.0,1.0785631,4.753976,2
A464.0_0,464.0,0.7534111,3.4378238,2
A465.0_0,465.0,0.9328729,2.2637913,9
A466.0_0,466.0,1.0600529,2.2314222,9
A467.0_0,467.0,0.61404216,5.140212,2
