arg-id,comment-id,x,y,cluster-id
A81_0,81,10.95769,10.606807,3
A82_0,82,10.100249,7.406791,0
A83_0,83,14.498201,10.277503,1
A84_0,84,14.225128,7.0885835,1
A85_0,85,12.4865265,8.651332,0
A86_0,86,12.759938,9.293345,1
A87_0,87,16.286274,11.517695,5
A88_0,88,17.10751,11.529621,5
A89_0,89,11.869382,11.806745,3
A90_0,90,17.522959,10.788201,5
A91_0,91,13.211931,6.1161585,4
A92_0,92,17.083626,11.370081,5
A93_0,93,17.430094,10.926491,5
A94_0,94,17.543036,10.603572,5
A95_0,95,17.307323,11.044767,5
A96_0,96,16.917505,11.047009,5
A97_0,97,17.4702,11.590394,5
A98_0,98,17.836164,10.775228,5
A99_0,99,17.469154,11.553191,5
A100_0,100,9.02562,10.926036,2
A101_0,101,16.89867,11.015317,5
A102_0,102,10.885561,8.278087,0
A103_0,103,11.996697,6.671877,0
A104_0,104,8.910334,11.763349,2
A105_0,105,11.35252,7.865531,0
A106_0,106,12.336846,11.707624,3
A107_0,107,8.857291,12.280976,2
A108_0,108,11.932468,11.520784,3
A109_0,109,17.3395,11.264501,5
A110_0,110,17.075111,9.957163,5
A111_0,111,10.578361,8.798927,0
A112_0,112,15.289578,10.92053,1
A113_0,113,10.836264,8.81457,0
A114_0,114,15.650037,7.6003757,1
A115_0,115,14.816945,11.201625,5
A116_0,116,15.285281,7.3403797,1
A117_0,117,16.016994,8.573921,1
A118_0,118,13.912131,7.953749,1
A119_0,119,10.499885,6.385773,0
A120_0,120,14.76531,8.583075,1
A121_0,121,11.336232,8.948038,0
A122_0,122,10.754546,8.801552,0
A123_0,123,10.649577,8.750175,0
A124_0,124,15.414299,10.610158,1
A125_0,125,11.50227,9.141726,0
A126_0,126,10.905701,8.845201,0
A127_0,127,14.020377,10.058244,1
A128_0,128,14.108765,10.094575,1
A129_0,129,14.196171,10.082991,1
A130_0,130,14.732367,9.97145,1
A131_0,131,10.121456,7.6234727,0
A132_0,132,11.598376,7.646746,0
A133_0,133,10.027499,7.540229,0
A134_0,134,10.013459,7.500827,0
A135_0,135,15.106754,8.226908,1
A136_0,136,14.901067,8.50262,1
A137_0,137,15.446243,8.437768,1
A138_0,138,15.325192,8.413826,1
A139_0,139,10.490023,9.969423,3
A140_0,140,10.478255,10.056124,3
A141_0,141,11.80437,8.968854,0
A142_0,142,15.184673,9.076985,1
A143_0,143,13.567816,7.2758737,1
A144_0,144,15.185125,8.548377,1
A145_0,145,12.290802,7.3596873,0
A146_0,146,13.721007,10.626833,1
A147_0,147,15.455725,10.821038,1
A148_0,148,16.763731,8.836121,1
A149_0,149,13.361112,7.447575,1
A150_0,150,14.9182005,9.931997,1
A151_0,151,15.225458,10.5710125,1
A152_0,152,14.873435,8.621122,1
A153_0,153,15.246915,8.054784,1
A154_0,154,15.222835,8.188067,1
A155_0,155,15.5958605,7.2243485,1
A156_0,156,15.189499,8.169549,1
A157_0,157,15.163387,7.998942,1
A158_0,158,14.347917,7.4662805,1
A159_0,159,15.549306,9.886565,1
A160_0,160,15.116897,9.705651,1
A161_0,161,15.273004,8.82484,1
A162_0,162,14.951166,7.733109,1
A163_0,163,14.906718,9.180342,1
A164_0,164,15.078909,8.418363,1
A165_0,165,15.645212,10.254578,1
A166_0,166,15.247424,10.0991335,1
A167_0,167,11.70145,7.5294747,0
A168_0,168,8.91595,12.524601,2
A169_0,169,15.7285,9.937192,1
A170_0,170,13.148463,6.189748,4
A171_0,171,11.971581,11.048348,3
A172_0,172,17.034782,11.407205,5
A173_0,173,17.55276,11.109978,5
A174_0,174,12.255772,9.528513,3
A175_0,175,8.507535,6.5889935,1
A176_0,176,11.791868,10.064117,3
A177_0,177,15.215094,7.0631046,1
A178_0,178,16.428804,8.501544,1
A179_0,179,12.512709,11.373753,3
A180_0,180,11.867582,9.830484,3
A181_0,181,8.853638,11.676352,2
A182_0,182,17.527222,10.87987,5
A183_0,183,13.154248,6.6549525,4
A184_0,184,10.964354,11.390255,3
A185_0,185,12.045346,6.762705,0
A186_0,186,15.639937,7.04123,1
A187_0,187,16.810055,8.992837,1
A188_0,188,13.05005,9.88683,1
A189_0,189,12.41493,11.309295,3
A190_0,190,17.468727,9.496238,5
A191_0,191,17.47231,11.61648,5
A192_0,192,16.782164,11.0026045,5
A193_0,193,13.128444,6.1844373,4
A194_0,194,14.997141,7.2994747,1
A195_0,195,8.781016,11.7185135,2
A196_0,196,14.688481,7.2863946,1
A197_0,197,8.982754,10.793344,2
A198_0,198,13.432624,7.574853,1
A199_0,199,11.734779,9.106623,0
A200_0,200,11.982289,11.667615,3
A201_0,201,17.284222,11.645927,5
A202_0,202,16.390383,11.773139,5
A203_0,203,12.023698,10.9863615,3
A204_0,204,15.667629,7.073947,1
A205_0,205,17.370632,11.703193,5
A206_0,206,9.260555,11.634937,2
A207_0,207,8.934534,12.08602,2
A208_0,208,14.063528,8.287641,1
A209_0,209,8.7954235,11.865832,2
A210_0,210,11.8631315,9.141064,0
A211_0,211,11.780678,8.933073,0
A212_0,212,9.84386,10.69996,2
A213_0,213,17.653343,10.96795,5
A214_0,214,9.148616,10.822271,2
A215_0,215,15.738646,8.51153,1
A216_0,216,15.859322,6.7731295,1
A217_0,217,15.876583,6.778175,1
A218_0,218,14.716284,9.207451,1
A219_0,219,16.783794,11.1171255,5
A220_0,220,10.850593,8.138882,0
A221_0,221,11.965408,11.589632,3
A222_0,222,11.817437,8.96467,0
A223_0,223,17.058481,10.9626465,5
A224_0,224,16.509815,10.947515,5
A225_0,225,12.561388,11.396235,3
A226_0,226,10.55971,7.94691,0
A227_0,227,13.915059,7.633256,1
A228_0,228,11.922951,8.125218,0
A229_0,229,10.213152,6.481601,0
A230_0,230,10.468981,6.456701,0
A231_0,231,12.31832,7.4406223,0
A232_0,232,11.810185,6.6848483,0
A233_0,233,15.851774,6.741494,1
A234_0,234,15.319353,7.7821274,1
A235_0,235,15.078548,7.4104304,1
A236_0,236,11.537116,6.7676167,0
A237_0,237,15.113051,9.926335,1
A238_0,238,14.567673,9.704207,1
A239_0,239,15.098901,7.5335,1
A240_0,240,14.897223,7.2503247,1
A241_0,241,15.010054,8.9910965,1
A242_0,242,15.406457,8.209796,1
